Latitude,Longitude ,FY Obligation Year,Lender_Name,Borrower_Name,Project Name,Main_Address_Line1,Main_Address_Line2,Main_Address_Line3,City,State_Abbreviation,Zip_Code,Date_Loan_Closing, Loan_Amount ,Total_Development_Cost,Loan_to_Cost,Tax_Credit_Indicator,Colonias_Tribal_Indicator,EZ/EC_Indicator,Population_Obligation,Median_Household_Income_Obligation,Project_Size,Project_Type,Total_1_Bedroom_Units,Total_2_Bedroom_Units,Total_3_Bedroom_Units,Total_4_Bedroom_Units,Total_5_Bedroom_Units,Br1 Unit Average Contract Rent,Br2 Unit Average Contract Rent,Br3 Unit Average Contract Rent,Br4 Unit Average Contract Rent,Br5 Unit Average Contract Rent,Construction_Type
43.038673,-108.372841,2007,LANCASTER POLLARD MORTGAGE COMPANY,"RIVERTON WOODRIDGE APARTMENTS, LLC",WOODRIDGE APARTMENTS,1302 REDWOOD DR., , ,RIVERTON,WY,825010000,3/10/09 0:00,"$1,126,900",5659367,0.2,Y,N,N,10232,48100,40,FAMILY,0,22,18,0,0,0,497,558,0,0,NEW CONSTRUCTION
37.713015,-89.890363,1996,MISSOURI HOUSING,PERRYVILLE PROPERTIES LP,PERRYVILLE PROPERTIES,1501 ALMA AVENUE, , ,PERRYVILLE,MO,637750000,10/21/97 0:00,"$911,500",2145000,0.42,Y,N,N,17431,33561,40,FAMILY,0,40,0,0,0,0,371,0,0,0,NEW CONSTRUCTION
37.159794,-84.12397,2003,"PNC MORTGAGE, A DIV. OF PNC BANK, N.A.","WODA ARLINGTON GREEN, LLC",ARLINGTON GREENE,100 ARLINGTON GREENE, , ,LONDON,KY,407410000,12/22/03 0:00,"$1,000,000",4185983,0.24,Y,N,N,22912,28693,40,FAMILY,4,24,8,4,0,322,381,436,481,0,NEW CONSTRUCTION
35.964329,-119.285492,2010,BONNEVILLE MORTGAGE COMPANY,"PIXLEY APARTMENT INVESTORS, A CA LP",MIRAGE VISTA APARTMENTS,1167 E TERRA BELLA AVENUE, , ,PIXLEY,CA,932560000,2/5/10 0:00,"$1,950,000",8990712,0.22,Y,N,N,2586,33983,55,FAMILY,0,16,23,16,0,0,282,282,282,0,NEW CONSTRUCTION
45.106762,-87.604755,2013,BELLWETHER ENTERPRISE REAL ESTATE,LLOYD HOUSE LDHA LP,LLOYD HOUSE,927 FIRST STREET, , ,MENOMINEE,MI,498580000,2/6/15 0:00,"$650,000",11176423,0.06,Y,N,N,8599,53600,44,MIXED,14,24,6,0,0,400,490,540,0,0,NEW CONSTRUCTION
31.324068,-82.246368,2014,BONNEVILLE MORTGAGE COMPANY,BLACKSHEAR VILLAGE LP,VILLAGE AT BLACKSHEAR, , , ,BLACKSHEAR,GA,315160000,4/22/15 0:00,"$1,300,000",9618273,0.14,Y,N,N,3445,37489,64,SENIOR,64,0,0,0,0,473,0,0,0,0,REHAB/REPAIR
35.91073,-88.764118,2015,"GREYSTONE SERVICING CORPORATION, INC.","HALLMARK HERITAGE VILLAS, LLC",HERITAGE VILLAS,4040 REASONS BLVD., , ,MILAN,TN,383583210,8/27/15 0:00,"$1,254,000",3892244,0.32,Y,N,N,7664,39318,49,FAMILY,24,25,0,0,0,418,443,0,0,0,REHAB/REPAIR
47.221249,-123.112808,2012,BONNEVILLE MORTGAGE COMPANY,"APD HOUSING PARTNERS 16, LP",HARMONY HOUSE,1100 N 13TH STREET, , ,SHELTON,WA,985840000,9/20/12 0:00,"$1,134,695",2508961,0.45,Y,N,N,9834,60200,30,SENIOR,20,10,0,0,0,700,800,0,0,0,REHAB/REPAIR
33.540771,-89.26799,2012,STERLING BANK,"EUPORA HOUSING,L. P.",MAGNOLIA APARTMENTS,101 WARTER WORKS ROAD, , ,EUPORA,MS,397440000,12/5/12 0:00,"$352,000",2338545,0.15,Y,N,N,2197,44700,30,FAMILY,0,30,0,0,0,0,484,0,0,0,REHAB/REPAIR
40.500699,-124.097183,2014,BONNEVILLE MORTGAGE COMPANY,"RIO DELL-RIO DELL, LP",RIO DELL,753 RIGBY BLVD, , ,RIO DELL,CA,958250000,6/9/15 0:00,"$850,000",7210032,0.12,Y,N,N,3368,40376,49,FAMILY,16,24,9,0,0,720,780,825,0,0,REHAB/REPAIR
37.737476,-120.946732,2014,BONNEVILLE MORTGAGE COMPANY,"RIVERBANK RIVERVIEW GARDEN, LP",RIVERVIEW GARDEN,2701 TOPEKA STREET, , ,RIVERBANK,CA,953670000,6/8/15 0:00,"$1,232,000",6820729,0.18,Y,N,N,22678,50671,42,FAMILY,16,1,25,0,0,750,800,825,0,0,REHAB/REPAIR
36.388983,-85.661264,2015,"GREYSTONE SERVICING CORPORATION, INC.","HALLMARK BROOKWOOD, LLC",BROOKWOOD APARTMENTS,128 BROOKWOOD LANE, , ,GAINESBORO,TN,385626070,8/27/15 0:00,"$754,000",3218960,0.23,Y,N,N,962,43600,44,SENIOR,40,4,0,0,0,416,496,0,0,0,REHAB/REPAIR
41.569904,-83.502533,2007,BELLWETHER ENTERPRISE REAL ESTATE,"LAKE TOWNE SENIOR VILLAGE, LLC",LAKE TOWNE SENIOR VILLAGE,4975 LAKE TOWNE DRIVE, , ,WALBRIDGE,OH,434650000,12/14/07 0:00,"$1,650,000",7222069,0.23,Y,N,N,10350,42726,43,SENIOR,0,43,0,0,0,0,385,0,0,0,NEW CONSTRUCTION
41.262642,-84.391846,2006,"PNC MORTGAGE, A DIV. OF PNC BANK, N.A.","VILLAS OF WAYNE TRAIL, LLC",VILLAS OF WAYNE TRAIL,701 VILLAGE LANE, , ,DEFIANCE,OH,435120000,7/17/06 0:00,"$1,150,000",6768691,0.17,Y,N,N,16465,41670,50,FAMILY,10,40,0,0,0,450,500,0,0,0,NEW CONSTRUCTION
30.402829,-87.66284,2006,KEYBANK NA,FOLEY HALL APARTMENTS LTD. III,"REGENCY POINTE, PHASE II",501 GREENTREE LANE, , ,FOLEY,AL,365350000,4/29/09 0:00,"$789,943",4575322,0.17,Y,N,N,13000,58100,48,SENIOR,0,48,0,0,0,0,402,0,0,0,NEW CONSTRUCTION
32.475746,-83.729713,2006,CB&T-A DIVISION OF SYNOVUS BANK,CAMERON COURT LP,CAMERON COURT,1807 MACON RD, , ,PERRY,GA,310690000,3/10/10 0:00,"$1,144,000",7636770,0.15,Y,N,N,8266,58900,64,SENIOR,8,48,8,0,0,373,397,438,0,0,NEW CONSTRUCTION
44.157714,-87.576017,2008,P/R MORTGAGE & INVESTMENT CORP,"TWO RIVERS ASSOCIATES II, LLC",VILLAGE GREEN WEST APARTMENTS,2602 FOREST AVENUE, , ,TWO RIVERS,WI,542410000,1/1/09 0:00,"$990,000",1284100,0.77,N,N,N,12639,39701,49,SENIOR,49,0,0,0,0,473,0,0,0,0,REHAB/REPAIR
40.951244,-78.960876,2007,BELLWETHER ENTERPRISE REAL ESTATE,"RIDGEWOOD GREENE, LLC",RIDGEWOOD GREENE,100 PLEASANT AVENUE, , ,REYNOLDSVILLE,PA,158250000,7/30/08 0:00,"$500,000",5581580,0.09,Y,N,N,10863,31836,40,FAMILY,8,16,16,0,0,369,430,471,0,0,NEW CONSTRUCTION
30.767054,-85.238569,2006,BONNEVILLE MORTGAGE COMPANY,,PEBBLE HILL ESTATES,2817 BRIGHTWELL AVE, , ,MARIANNA,FL,324480000,6/21/07 0:00,"$1,580,000",11533530,0.14,Y,N,N,6230,23861,80,FAMILY,0,40,40,0,0,0,511,533,0,0,NEW CONSTRUCTION
41.938254,-84.986035,2004,P/R MORTGAGE & INVESTMENT CORP,PEDCOR INVESTMENTS 2000 XLIII,WHISPERING PINES,374 E. CHICAGO STREET, , ,COLDWATER,MI,490362062,9/16/04 0:00,"$3,100,000",6470000,0.48,Y,N,N,9607,39500,112,FAMILY,32,56,24,0,0,322,387,448,0,0,OTHER
38.424278,-81.787132,2002,WV HOUSING DEVEL FUND,PERKINS PARKE LIMITED PARTNERSHIP,PERKINS PARKE APTS.,100 DREXEL PLACE, , ,CROSS LANES,WV,253130000,10/30/02 0:00,"$1,725,000",3149485,0.55,Y,N,N,10353,45900,56,FAMILY,8,40,8,0,0,373,470,521,0,0,NEW CONSTRUCTION
32.512257,-92.618874,2000,"PNC MORTGAGE, A DIV. OF PNC BANK, N.A.","CINNAMON COURT APARTMENTS, LP",CINNAMON COURT APARTMENTS,145 NUTMEG DRIVE, , ,RUSTON,LA,712700000,6/29/01 0:00,"$1,080,000",2854468,0.38,Y,N,N,20077,38800,56,FAMILY,0,44,12,0,0,0,350,485,0,0,NEW CONSTRUCTION
36.28722,-92.48169,2006,LANCASTER POLLARD MORTGAGE COMPANY,"MOUNTAINVIEW ESTATES, L.P.",MOUNTAINVIEW ESTATES,HIGHWAY 62 WEST & HWY 126 NORTH, , ,GASSVILLE,AR,726350000,9/10/07 0:00,"$1,200,000",3832593,0.31,Y,N,N,1706,25478,32,FAMILY,0,0,32,0,0,0,0,543,0,0,NEW CONSTRUCTION
40.892875,-80.870784,2005,P/R MORTGAGE & INVESTMENT CORP,"SALEM SENIOR HOUSING, LLC",SALEM SENIOR HOUSING,996 W PERRY ST, , ,SALEM,OH,444600000,7/13/07 0:00,"$1,100,000",5795508,0.19,Y,N,N,12197,49600,48,SENIOR,0,48,0,0,0,0,461,0,0,0,NEW CONSTRUCTION
40.892875,-80.870784,2007,P/R MORTGAGE & INVESTMENT CORP,"SALEM SENIOR HOUSING, LLC",SALEM SENIOR HOUSING,996 W PERRY ST, , ,SALEM,OH,444600000,7/13/07 0:00,"$85,000",5795508,0.01,Y,N,N,12197,49600,48,SENIOR,0,48,0,0,0,0,461,0,0,0,NEW CONSTRUCTION
43.713627,-98.019951,2006,BANK OF THE WEST,CATHEDRAL SQUARE PARTNERS LTD PARTNERSHI,CATHEDRAL SQUARE I,501 NORTH DAVISON STREET, , ,MITCHELL,SD,573010000,1/28/09 0:00,"$1,585,000",3239025,0.49,Y,N,N,14558,31308,49,SENIOR,49,0,0,0,0,540,0,0,0,0,REHAB/REPAIR
48.770513,-98.373547,2006,"PNC MORTGAGE, A DIV. OF PNC BANK, N.A.","2005 LANGDON VILLAGE, L.P",PARK VILLAGE OF LANGDON,1724 6TH STREET, , ,LANGDON,ND,583010910,6/26/08 0:00,"$580,000",2869783,0.2,Y,N,N,2101,28839,32,FAMILY,0,32,0,0,0,0,493,0,0,0,REHAB/REPAIR
44.53874,-73.209427,2008,NORTHFIELD SAVINGS BANK,BROOKSIDE APARTMENTS L.P.,BROOKSIDE APARTMENTS,3 MALLETT'S BAY AVENUE, , ,COLCHESTER,VT,54460000,1/13/09 0:00,"$1,335,000",9587913,0.14,Y,N,N,17180,51429,42,FAMILY,8,31,3,0,0,646,805,951,0,0,NEW CONSTRUCTION
36.290815,-92.47887,2005,"PNC MORTGAGE, A DIV. OF PNC BANK, N.A.","GASSVILLE GARDENS, L.P.",GASSVILLE GARDENS,448 GASSVILLE GARDENS LOOP, , ,GASSVILLE,AR,726350000,4/21/06 0:00,"$660,000",2641359,0.25,Y,N,N,1706,25478,40,SENIOR,32,8,0,0,0,387,467,0,0,0,NEW CONSTRUCTION
36.05313,-84.007881,2007,BONNEVILLE MORTGAGE COMPANY,"EH KENSINGTON ASSOCIATES, L.P.",KENSINGTON FOREST I APARTMENTS,404 TAMMY DRIVE, , ,POWELL,TN,378490000,8/7/08 0:00,"$1,626,894",3397526,0.48,Y,N,N,173890,27492,59,FAMILY,23,36,0,0,0,410,485,0,0,0,REHAB/REPAIR
42.7314,-114.517733,2007,"PNC MORTGAGE, A DIV. OF PNC BANK, N.A.",NORTHSIDE COURT LTD. PTN.,NORTHSIDE COURTS,140 8TH AVENUE EAST, , ,JEROME,ID,833380000,11/14/07 0:00,"$776,570",2834216,0.27,Y,N,N,7780,30074,44,FAMILY,20,24,0,0,0,423,508,0,0,0,REHAB/REPAIR
36.260529,-94.141609,2004,FIRST SECURITY BANK,"LOWELL APARTMENTS, LLC",ROBINSON PARK APARTMENTS L.L.C,303 W. ROBINSON AVE, , ,LOWELL,AR,727458018,6/15/07 0:00,"$1,363,026",2438181,0.56,Y,N,N,5013,48063,32,FAMILY,0,0,32,0,0,0,0,570,0,0,NEW CONSTRUCTION
41.281012,-72.429578,2009,BONNEVILLE MORTGAGE COMPANY,SKS WESTBROOK LLC,AMBLESIDE I & II,1784 BOSTON POST ROAD, , ,WESTBROOK,CT,62390000,12/22/09 0:00,"$2,545,750",5876853,0.43,Y,N,N,6292,59175,72,MIXED,60,12,0,0,0,715,737,0,0,0,OTHER
38.593494,-95.280954,2008,"BANK OF OKLAHOMA, N.A.",PINE MANOR APARTMENTS LP,PINE MANOR APARTMENTS,1513 OSAGE DRIVE, , ,OTTAWA,KS,660670000,12/16/08 0:00,"$700,000",2592000,0.27,Y,N,N,12792,54200,30,FAMILY,0,24,6,0,0,0,644,707,0,0,REHAB/REPAIR
38.605092,-86.100737,2008,P/R MORTGAGE & INVESTMENT CORP,SPRING TOWN APARTMENTS L.P.,SPRING TOWN APARTMENTS,122 S. MAIN STREET, , ,MARENGO,IN,471400000,9/25/08 0:00,"$114,000",2402842,0.05,Y,N,N,829,23542,20,FAMILY,10,2,6,2,0,275,385,470,500,0,OTHER
30.680654,-87.860411,2006,KEYBANK NA,"KENSLEY HALL APARTMENTS, LTD.",KENSLEY APARTMENTS,31230 STAGE COACH ROAD, , ,SPANISH FORT,AL,365270000,8/16/06 0:00,"$3,400,000",8931203,0.38,Y,N,N,5260,56699,104,FAMILY,0,72,32,0,0,0,543,624,0,0,NEW CONSTRUCTION
40.835592,-83.2281,2002,"PNC MORTGAGE, A DIV. OF PNC BANK, N.A.","NANTUCKET GREENE, LTD.",NANTUCKET GREENE,200 NANTUCKET DRIVE, , ,UPPER SANDUSKY,OH,439120000,5/28/03 0:00,"$975,000",3515634,0.28,Y,N,N,6781,35245,39,MIXED,4,20,15,0,0,380,480,540,0,0,NEW CONSTRUCTION
40.835592,-83.2281,2002,"PNC MORTGAGE, A DIV. OF PNC BANK, N.A.","NANTUCKET GREENE, LTD.",NANTUCKET GREENE,200 NANTUCKET DRIVE, , ,UPPER SANDUSKY,OH,439120000,5/28/03 0:00,"$70,000",3515634,0.02,Y,N,N,6781,35245,39,MIXED,4,20,15,0,0,380,480,540,0,0,NEW CONSTRUCTION
40.835592,-83.2281,2003,"PNC MORTGAGE, A DIV. OF PNC BANK, N.A.","NANTUCKET GREENE, LTD.",NANTUCKET GREENE,200 NANTUCKET DRIVE, , ,UPPER SANDUSKY,OH,439120000,5/28/03 0:00,"$80,000",3515634,0.02,Y,N,N,6781,35245,39,MIXED,4,20,15,0,0,380,480,540,0,0,NEW CONSTRUCTION
41.945084,-85.646477,2004,USDA RURAL DEVELOPMENT,"BENTWATERS OF THREE RIVERS, L.P.",BENTWATERS OF THREE RIVERS,1101 PEALER STREET, , ,THREE RIVERS,MI,490930000,6/9/04 0:00,"$8,038,300",9626677,0.84,N,N,N,7543,49600,120,FAMILY,24,80,16,0,0,690,790,990,0,0,NEW CONSTRUCTION
40.15007,-82.68552,2008,"PNC MORTGAGE, A DIV. OF PNC BANK, N.A.","LUKE'S CROSSING, L.P.",LUKE'S CROSSING,214 BRIARWOOD DRIVE, , ,JOHNSTOWN,OH,430310000,1/29/08 0:00,"$235,000",5086771,0.05,Y,N,N,3440,43651,40,FAMILY,0,40,0,0,0,0,335,0,0,0,REHAB/REPAIR
40.15007,-82.68552,2006,"PNC MORTGAGE, A DIV. OF PNC BANK, N.A.","LUKE'S CROSSING, L.P.",LUKE'S CROSSING,214 BRIARWOOD DRIVE, , ,JOHNSTOWN,OH,430310000,1/29/08 0:00,"$195,000",5086771,0.04,Y,N,N,3440,43651,40,FAMILY,0,40,0,0,0,0,335,0,0,0,REHAB/REPAIR
37.8647,-80.450974,2006,WV HOUSING DEVEL FUND,SPRUCE COVE LIMITED PARTNERSHIP,SPRUCE COVE APARTMENTS,410 NORTHRIDGE DRIVE, , ,LEWISBURG,WV,249010000,9/18/06 0:00,"$50,000",3317949,0.02,Y,N,N,4317,40100,42,FAMILY,6,30,6,0,0,365,435,485,0,0,NEW CONSTRUCTION
37.8647,-80.450974,2004,WV HOUSING DEVEL FUND,SPRUCE COVE LIMITED PARTNERSHIP,SPRUCE COVE APARTMENTS,410 NORTHRIDGE DRIVE, , ,LEWISBURG,WV,249010000,10/27/04 0:00,"$1,205,000",3317949,0.36,Y,N,N,4317,40100,42,FAMILY,6,30,6,0,0,365,435,485,0,0,NEW CONSTRUCTION
39.132774,-82.97079,2006,LANCASTER POLLARD MORTGAGE COMPANY,BRISTOL COURT APARTMENTS LP,BRISTOL COURT APARTMENTS,600 E. FIFTH STREET, , ,WAVERLY,OH,459600000,2/23/07 0:00,"$2,392,000",4455274,0.54,Y,N,N,4433,33895,82,SENIOR,70,12,0,0,0,331,397,0,0,0,REHAB/REPAIR
41.516577,-71.762956,2010,BONNEVILLE MORTGAGE COMPANY,ROCKVILLE MILL LLC,ROCKVILLE MILL,332 CANONCHET ROAD, , ,HOPKINTON,RI,28320000,5/25/11 0:00,"$1,114,000",3740516,0.3,Y,N,N,7836,53103,14,FAMILY,3,9,2,0,0,859,1005,1201,0,0,NEW CONSTRUCTION
41.517929,-84.313759,2010,P/R MORTGAGE & INVESTMENT CORP,"WHITEHOUSE SQUARE SENIOR VILLAGE, LLC",WHITEHOUSE SQUARE SENIOR VLG,7001 PARK VIEW COURT, , ,WHITEHOUSE,OH,453710000,11/1/12 0:00,"$375,000",5703065,0.07,Y,N,N,2733,52037,44,SENIOR,0,44,0,0,0,0,534,0,0,0,NEW CONSTRUCTION
41.578907,-83.894234,2003,"PNC MORTGAGE, A DIV. OF PNC BANK, N.A.","PAIGELYNN PLACE, LLC",PAIGELYNN PLACE,102 PAIGELYNN STREET, , ,SWANTON,OH,435580000,7/28/04 0:00,"$2,350,000",8990952,0.26,Y,N,N,3283,39700,60,FAMILY,0,4,28,28,0,0,490,565,625,0,NEW CONSTRUCTION
36.351879,-88.839638,2010,BONNEVILLE MORTGAGE COMPANY,MARTIN HOUSING ASSOC. LIMITED PARTNERSHI,CHAPEL RIDGE AT MARTIN,528 ELLIS STREET, , ,MARTIN,TN,382370000,5/26/11 0:00,"$2,930,000",6181316,0.47,Y,N,N,10515,30008,96,FAMILY,16,40,36,4,0,550,650,750,825,0,NEW CONSTRUCTION
43.374283,-112.133657,2004,"PNC MORTGAGE, A DIV. OF PNC BANK, N.A.",CARNOUSTIE II LIMITED PARTNERSHIP,"CARNOUSTIE II, LP",604 WEST FIR STREET, , ,SHELLEY,ID,832740000,10/15/04 0:00,"$770,000",3314900,0.23,Y,N,N,3813,32000,32,FAMILY,0,16,16,0,0,0,441.69,475.63,0,0,NEW CONSTRUCTION
34.12582,-109.934532,2004,"PNC MORTGAGE, A DIV. OF PNC BANK, N.A.",PINETOP HILLS LLC,PINETOP HILLS,1846 E. WHITE MOUNTAIN BLVD, , ,PINETOP,AZ,859350000,9/13/05 0:00,"$1,057,561",7551263,0.14,Y,N,N,3582,36706,64,FAMILY,0,38,26,0,0,0,450,520,0,0,NEW CONSTRUCTION
42.788471,-96.936623,2006,UNITED BANK OF IOWA,DONNER FAMILY LIMITED PARTNERSHIP,WALNUT GROVE APARTMENTS,929 RADCLIFFE, , ,VERMILLION,SD,570690000,10/16/09 0:00,"$1,489,745",2124513,0.7,N,N,N,9765,27535,24,FAMILY,0,12,12,0,0,0,783,895,0,0,NEW CONSTRUCTION
38.024464,-97.345484,2008,"BANK OF OKLAHOMA, N.A.",RURAL HOUSING OF NEWTON LP,TURKEY RED VILLAGE,112 SOUTHPORT DRIVE, , ,NEWTON,KS,671140000,12/14/09 0:00,"$470,000",2170275,0.22,Y,N,N,18093,38236,20,FAMILY,8,8,4,0,0,550,550,550,0,0,REHAB/REPAIR
39.60495,-119.244331,2005,"PNC MORTGAGE, A DIV. OF PNC BANK, N.A.",LAHONTAN SPRINGS LIMITED PARTNERSHIP,LAHONTAN SPRINGS APARTMENTS,350 WILLOW WAY, , ,FERNLEY,NV,894080000,2/23/06 0:00,"$2,000,000",4614788,0.43,Y,N,N,5902,44657,100,FAMILY,0,50,42,8,0,0,577,577,577,0,NEW CONSTRUCTION
